Data_source,CAMHID,Site,SiteCode,Region,Year,Century,century_recode,d13C_whole_oto,d18O_whole_oto,d13C_juv,d18O_juv,d13C_adult,d18O_adult,Age_yr,Oto_section_diameter_mm,Estimated_fishlength_cm,VonB_fishlength_cm,VonB_residual,G_index,O18_Reynolds
CAMH,117,Vatnskot,VTN,NW,987,10,10,-1.18,2.41, , , , ,5,7.08,58.0108388,62.6,-0.917832239,0.926690716,3.64
CAMH,118,Vatnskot,VTN,NW,1770,18,18,-1.39,2.75, , , , ,9,9.41,85.56322409,90.24,-0.519641768,0.948174026,3.64
CAMH,119,Vatnskot,VTN,NW,1050,11,11,-1.53,2.38, , , , ,6,7.07,57.89894288,70.56,-2.110176187,0.820563249,3.64
CAMH,120,Vatnskot,VTN,NW,1050,11,11,-1.28,2.65, , , , ,9,8.62,75.90434558,90.24,-1.592850491,0.841138581,3.64
CAMH,121,Vatnskot,VTN,NW,1050,11,11,-1.81,5.17, , , , ,9,7.29,60.37394,90.24,-3.318451111,0.669037456,3.64
CAMH,122,Vatnskot,VTN,NW,1050,11,11,-1.83,3.7, , , , ,4,6.97,56.78317733,53.84,0.735794333,1.054665255,3.64
CAMH,123,Vatnskot,VTN,NW,1050,11,11, , , , , , ,21,9.92,91.95993578,130.12,-1.817145915,0.706731754,3.64
CAMH,125,Vatnskot,VTN,NW,925,10,10,-0.39,3.13, , , , ,11,8.46,73.98635485,100.49,-2.409422287,0.736255895,3.64
CAMH,126,Vatnskot,VTN,NW,925,10,10,-1.66,4.29, , , , ,8,6.64,53.14290752,84.31,-3.89588656,0.630327453,3.64
CAMH,127,Vatnskot,VTN,NW,925,10,10,-0.95,4.02, , , , ,10,6.25,48.92556153,95.61,-4.668443847,0.511720129,3.64
CAMH,128,Vatnskot,VTN,NW,925,10,10,-1.08,3.43, , , , ,9,9.84,90.94839088,90.24,0.078710097,1.007850076,3.64
CAMH,129,Vatnskot,VTN,NW,925,10,10,-2.09,3.82, , , , ,13,7.49,62.64780774,108.93,-3.560168636,0.575119873,3.64
CAMH,130,Vatnskot,VTN,NW,925,10,10,-2.96,3.35, , , , ,10,10.61,100.8070555,95.61,0.519705552,1.05435682,3.64
CAMH,131,Vatnskot,VTN,NW,925,10,10,-0.79,3.74, , , , ,5,5.95,45.74608055,62.6,-3.37078389,0.73076806,3.64
CAMH,132,Vatnskot,VTN,NW,925,10,10,-0.68,3.53, , , , ,5,6.05,46.79953705,62.6,-3.160092591,0.747596438,3.64
CAMH,133,Vatnskot,VTN,NW,925,10,10,-2.1,3.23, , , , ,7,6.76,54.45915542,77.77,-3.330120654,0.700259167,3.64
CAMH,134,Vatnskot,VTN,NW,925,10,10,-1.39,3.27, , , , ,8,5.67,42.83099599,84.31,-5.184875501,0.508017981,3.64
CAMH,135,Vatnskot,VTN,NW,925,10,10,-0.73,2.96, , , , ,9,8.5,74.4646183,90.24,-1.752820189,0.825184157,3.64
CAMH,136,Vatnskot,VTN,NW,925,10,10,-1.01,3.25, , , , ,6,6.8,54.89981613,70.56,-2.610030645,0.778058619,3.64
CAMH,137,Vatnskot,VTN,NW,925,10,10,-1.62,3.11, , , , ,5,5.7,43.14085698,62.6,-3.891828603,0.68915107,3.64
CAMH,138,Vatnskot,VTN,NW,925,10,10,-1.1,4.09, , , , ,4,6.44,50.96849501,53.84,-0.717876248,0.946665955,3.64
CAMH,140,Vatnskot,VTN,NW,925,10,10,-1.46,4.02, , , , ,17,11.48,112.3,121.57,-0.55,0.92,3.64
CAMH,144,Vatnskot,VTN,NW,925,10,10,-1.46,4.02, , , , ,10,11.74,115.7524883,95.61,2.014248826,1.210673447,3.64
CAMH,145,Vatnskot,VTN,NW,925,10,10,-1.31,3.19, , , , ,9,9.72,89.43671372,90.24,-0.089254031,0.991098335,3.64
CAMH,146,Vatnskot,VTN,NW,925,10,10,-0.95,3.87, , , , ,6,7.92,67.61177121,70.56,-0.491371465,0.958216712,3.64
CAMH,147,Vatnskot,VTN,NW,925,10,10,-1.31,2.95, , , , ,9,8.43,73.62819979,90.24,-1.845755579,0.815915335,3.64
CAMH,148,Vatnskot,VTN,NW,925,10,10,-1.26,2.27, , , , ,9,9.32,84.44731611,90.24,-0.643631544,0.935808024,3.64
CAMH,149,Vatnskot,VTN,NW,925,10,10,-1.68,2.96, , , , ,11,9.67,88.80885663,100.49,-1.061922125,0.883758151,3.64
CAMH,150,Vatnskot,VTN,NW,925,10,10, , , , , , ,12,9.23,83.3353452,104.92,-1.798721233,0.794275116,3.64
CAMH,152,Kotið,KOT,NW,950,10,10,-0.74,3.17, , , , ,14,7.81,66.3322956,112.56,-3.301978886,0.589306109,3.55
CAMH,153,Kotið,KOT,NW,950,10,10,-1.27,3.7, , , , ,12,7.13,58.57118531,104.92,-3.862401225,0.558246143,3.55
CAMH,154,Kotið,KOT,NW,950,10,10,-1.44,4.03, , , , ,12,9.39,85.31490553,104.92,-1.633757873,0.813142447,3.55
CAMH,155,Kotið,KOT,NW,950,10,10,-0.51,3.42, , , , ,7,6.43,50.86041555,77.77,-3.844226351,0.653985027,3.55
CAMH,156,Kotið,KOT,NW,950,10,10,-1.56,3.82, , , , ,12,8.51,74.58431308,104.92,-2.52797391,0.710868405,3.55
CAMH,157,Kotið,KOT,NW,950,10,10,-0.45,3.59, , , , ,14,8.85,78.68432489,112.56,-2.419691079,0.699043398,3.55
CAMH,158,Utskalar,UTS,W,1850,19,19,-1.23,3.77, , , , ,11,9.63,88.30742545,100.49,-1.107506777,0.87876829,3.8
CAMH,159,Utskalar,UTS,W,1850,19,19,-0.57,3.84, , , , ,16,9.96,92.46683049,118.86,-1.649573095,0.777947421,3.8
CAMH,160,Utskalar,UTS,W,1850,19,19,-2.63,3.82, , , , ,11,9.96,92.46683049,100.49,-0.729379047,0.920159523,3.8
CAMH,161,Utskalar,UTS,W,1850,19,19,-0.22,3.48, , , , ,9,8.97,80.14532463,90.24,-1.121630597,0.888135246,3.8
