Source,Historical_or_modern,CAMHID,Year,Century,Century_recoded,Length_cm,Age_yr,Predicted_length_cm,G_index,Region
Archaeo,950-1900,   529,1410,15,15, , , , ,W
Archaeo,950-1900,   530,1410,15,15,94.9663608234348,12,104.92,.905131155389199,W
Archaeo,950-1900,   531,1410,15,15,86.0290214460629,12,104.92,.819948736618975,W
Archaeo,950-1900,   532,1410,15,15,99.2222157080943,11,100.49,.987383975600501,W
Archaeo,950-1900,   533,1410,15,15,68.7208150866981,6,70.56,.97393445417656,W
Archaeo,950-1900,   534,1410,15,15,69.9177561613202,7,77.77,.899032482465221,W
Archaeo,950-1900,   535,1410,15,15,57.2408572053506,5,62.6,.914390690181319,W
Archaeo,950-1900,   536,1410,15,15,80.4669785071756,8,84.31,.954417963553263,W
Archaeo,950-1900,   537,1410,15,15,106.295174164428,13,108.93,.975811752175051,W
Archaeo,950-1900,   538,1410,15,15,108.272456508849,16,118.86,.910924251294369,W
Archaeo,950-1900,   539,1410,15,15,107.812267856955,20,128.29,.840379358149155,W
Archaeo,950-1900,   540,1410,15,15,93.7222354685776,10,95.61,.980255574402025,W
Archaeo,950-1900,   541,1410,15,15,57.5993014360776,6,70.56,.816316630329899,W
Archaeo,950-1900,   550,1621,17,17,103.072361434057,12,104.92,.982390025105382,W
Archaeo,950-1900,   551,1621,17,17,97.5764786173346,9,90.24,1.08129963006798,W
Archaeo,950-1900,   552,1621,17,17,101.8227226922,7,77.77,1.30928021977884,W
Archaeo,950-1900,   553,1621,17,17,56.7589862670828,3,44.18,1.28472128264108,W
Archaeo,950-1900,   554,1621,17,17,95.8444476627346,12,104.92,.913500263655496,W
Archaeo,950-1900,   555,1621,17,17,74.4828293998391,7,77.77,.957732151213053,W
Archaeo,950-1900,   556,1621,17,17, ,5,62.6, ,W
Archaeo,950-1900,   557,1621,17,17, ,5,62.6, ,W
Archaeo,950-1900,   558,1621,17,17, ,5,62.6, ,W
Archaeo,950-1900,   559,1621,17,17,52.2517984834538,5,62.6,.834693266508846,W
Archaeo,950-1900,   560,1554,16,16, ,12,104.92, ,W
Archaeo,950-1900,   561,1554,16,16, ,17,121.57, ,W
Archaeo,950-1900,   562,1554,16,16, ,14,112.56, ,W
Archaeo,950-1900,   563,1850,19,19, ,10,95.61, ,W
Archaeo,950-1900,   564,1850,19,19, ,7,77.77, ,W
Archaeo,950-1900,   565,1820,19,19,99.6351463138416,11,100.49,.991493146719491,W
Archaeo,950-1900,   566,1820,19,19,99.485989659556,11,100.49,.990008853214807,W
Archaeo,950-1900,   567,1820,19,19,92.4621086122357,13,108.93,.848821340422617,W
Archaeo,950-1900,   568,1795,18,18,122.735026309818,12,104.92,1.1697962858351,W
Archaeo,950-1900,   569,1795,18,18,87.3443933020983,9,90.24,.967912159819352,W
Archaeo,950-1900,   570,1795,18,18,91.2870484651931,11,100.49,.908419230422859,W
Archaeo,950-1900,   571,1795,18,18,107.420583619951,9,90.24,1.19038767309343,W
Archaeo,950-1900,   572,1795,18,18,103.446960654264,12,104.92,.98596035697926,W
Archaeo,950-1900,   573,1795,18,18,89.5223171815867,12,104.92,.853243587319736,W
Archaeo,950-1900,   574,1795,18,18,95.0978843045801,10,95.61,.994643701543563,W
Archaeo,950-1900,   575,1795,18,18,101.818027948074,14,112.56,.904566701741949,W
Archaeo,950-1900,   576,1795,18,18,85.4253300895446,9,90.24,.94664594514123,W
Archaeo,950-1900,   577,1795,18,18,50.2449441691109,3,44.18,1.13727804819174,W
Archaeo,950-1900,   578,1795,18,18,49.5320725425074,3,44.18,1.12114242966291,W
Archaeo,950-1900,   579,1795,18,18,82.6928649740861,11,100.49,.822896457101065,W
Archaeo,950-1900,   580,1795,18,18,79.8220306940415,10,95.61,.834871150444948,W
Archaeo,950-1900,   581,1770,18,18,95.3628048935917,16,118.86,.802312004825776,W
Archaeo,950-1900,   582,1770,18,18,114.46760766551,14,112.56,1.01694747392955,W
Archaeo,950-1900,   583,1770,18,18,55.7808187836047,3,44.18,1.26258077826176,W
Archaeo,950-1900,   584,1770,18,18,79.6707546415645,9,90.24,.882876270407408,W
Archaeo,950-1900,   585,1770,18,18,47.0831694300271,5,62.6,.752127307188931,W
Archaeo,950-1900,   586,1770,18,18,68.6442524871637,5,62.6,1.09655355410805,W
Archaeo,950-1900,   587,1744,18,18,80.2342149942503,11,100.49,.798429843708332,W
Archaeo,950-1900,   588,1744,18,18,97.8002138957622,13,108.93,.897826254436448,W
Archaeo,950-1900,   589,1744,18,18,86.8281727819579,12,104.92,.827565504974818,W
Archaeo,950-1900,   590,1744,18,18,98.7229989047136,12,104.92,.940935940761662,W
Archaeo,950-1900,   591,1744,18,18,89.3303777044543,7,77.77,1.14864829245794,W
Archaeo,950-1900,   592,1744,18,18,86.7993978352175,9,90.24,.961872759698776,W
Archaeo,950-1900,   593,1744,18,18,85.3460939020613,13,108.93,.78349484900451,W
Archaeo,950-1900,   594,1744,18,18,86.7386591185931,14,112.56,.770599316973997,W
Archaeo,950-1900,   595,1744,18,18,93.179690341589,11,100.49,.927253361942373,W
Archaeo,950-1900,   596,1744,18,18,104.92623729239,13,108.93,.963244627672725,W
Archaeo,950-1900,   597,1744,18,18,58.3248946071787,5,62.6,.931707581584324,W
Archaeo,950-1900,   598,1744,18,18,98.7518022249391,13,108.93,.906562032726881,W
Archaeo,950-1900,   599,1744,18,18,52.9269495116953,5,62.6,.845478426704398,W
Archaeo,950-1900,   600,1744,18,18,81.6916048423131,10,95.61,.854425319969806,W
Archaeo,950-1900,   601,1744,18,18,113.916549097188,11,100.49,1.13361079806137,W
Archaeo,950-1900,   602,1744,18,18,85.0756387403203,11,100.49,.846608008163203,W
Archaeo,950-1900,   603,1710,18,18,102.117997621324,10,95.61,1.06806816882464,W
Archaeo,950-1900,   604,1710,18,18,98.4513262752461,15,115.87,.849670546951291,W
Archaeo,950-1900,   605,1710,18,18,107.286543068967,12,104.92,1.02255569070689,W
Archaeo,950-1900,   606,1710,18,18,99.4052178303437,12,104.92,.947438217978876,W
Archaeo,950-1900,   607,1710,18,18,83.8018624884201,9,90.24,.928655391050754,W
Archaeo,950-1900,   608,1710,18,18,99.1636297117421,10,95.61,1.03716797104636,W
Archaeo,950-1900,   609,1710,18,18,112.482913112174,13,108.93,1.0326164795022,W
Archaeo,950-1900,   610,1710,18,18,76.9962888033491,11,100.49,.766208466547409,W
Archaeo,950-1900,   611,1710,18,18,112.33799934523,14,112.56,.998027712733032,W
Archaeo,950-1900,   612,1710,18,18,102.559438531855,12,104.92,.977501320356985,W
Archaeo,950-1900,  139A,925,10,10.2,66.6,8,84.31,.79,NW
Archaeo,950-1900,  139B,925,10,10.2,58.7,8,84.31,.7,NW
Archaeo,950-1900,  141A,925,10,10.2,71.8,8,84.31,.85,NW
Archaeo,950-1900,  141B,925,10,10.2,61.6,8,84.31,.73,NW
Archaeo,950-1900,  142A,925,10,10.2,100,17,121.57,.82,NW
Archaeo,950-1900,  142B,925,10,10.2,50.5,6,70.56,.72,NW
Archaeo,950-1900,  143A,925,10,10.2,62.2,6,70.56,.88,NW
